,Mean Accuracy,Mean NLL,Mean Precision,Mean Sensitivity,Mean Specificity,Testing Set Size,Training Set Size
>,0.0%,0.0,0.0%,0.0%,0.0%,100.0,0.0
>,0.0%,0.0,0.0%,0.0%,0.0%,99.85358711566617,0.14641288433382138
>,7.419970631424376%,0.08135544375328672,6.038430642924584%,6.962184873949578%,7.665914221218961%,99.70717423133236,0.29282576866764276
>,14.554411764705884%,0.1865809195639259,10.13968418345753%,10.499999999999996%,16.73755656108597%,99.56076134699853,0.43923865300146414
>,12.68483063328424%,0.2191358148961223,8.688166225647462%,12.747899159663866%,12.650793650793648%,99.41434846266472,0.5856515373352855
>,30.01032448377582%,0.28817054028031114,24.159977074150596%,26.74683544303798%,31.76417233560091%,99.26793557833089,0.7320644216691069
>,35.91580502215658%,0.34961252451166985,27.68349384320009%,32.78481012658227%,37.60227272727274%,99.12152269399706,0.8784773060029283
>,41.710059171597635%,0.4239690525758079,33.2870100019421%,40.18565400843882%,42.53302961275625%,98.97510980966325,1.0248901903367496
>,50.80296296296298%,0.41088127471419883,41.31136237506353%,43.63983050847458%,54.65375854214125%,98.82869692532942,1.171303074670571
>,58.64243323442137%,0.41628680592922784,50.554429490386035%,52.76271186440679%,61.81050228310504%,98.68228404099561,1.3177159590043925
>,62.799405646359574%,0.3928385768629583,53.26336535441069%,53.19915254237289%,67.98398169336384%,98.53587115666178,1.4641288433382138
>,75.98214285714285%,0.07097728492875477,72.84407641550854%,58.12340425531913%,85.58581235697936%,98.38945827232797,1.610541727672035
>,80.68107302533531%,-0.013826540715860097,80.30472795142934%,63.32984178941625%,90.03440366972482%,98.24304538799414,1.7569546120058566
>,82.11791044776118%,-0.05860227264054158,82.65016551362349%,65.93589743589743%,90.80275229357797%,98.09663250366032,1.903367496339678
>,84.77578475336323%,-0.0989505695819267,86.31057667285056%,68.73504273504275%,93.40459770114943%,97.9502196193265,2.049780380673499
>,86.34281437125746%,-0.14046585739195697,89.20243266373512%,69.49145299145297%,95.4285714285715%,97.80380673499268,2.1961932650073206
>,87.55472263868066%,-0.16204565880861385,90.71591675272045%,71.66094420600857%,96.0875576036867%,97.65739385065886,2.342606149341142
>,87.50000000000001%,-0.1630296037730686,91.0236205240604%,71.2532188841202%,96.24249422632793%,97.51098096632504,2.4890190336749636
>,87.98796992481202%,-0.17139996661711546,91.74818875481236%,72.11587982832619%,96.54861111111107%,97.36456808199121,2.635431918008785
>,88.94277108433738%,-0.1834250594697291,92.19477012922479%,74.55603448275863%,96.66898148148148%,97.2181551976574,2.781844802342606
>,89.04675716440414%,-0.18444570313034447,92.34757784950058%,74.81896551724135%,96.70533642691426%,97.07174231332357,2.9282576866764276
>,89.27945619335338%,-0.1893818170134992,92.99996390992918%,75.07327586206897%,96.94418604651163%,96.92532942898976,3.074670571010249
>,90.26626323751891%,-0.2024417920581767,93.50192034953218%,77.51082251082252%,97.11860465116278%,96.77891654465593,3.22108345534407
>,90.29696969696967%,-0.20258679733026205,93.5739294008494%,77.58008658008659%,97.14452214452213%,96.63250366032212,3.3674963396778916
>,90.34749620637331%,-0.20432556589604117,93.87448688171824%,77.50649350649351%,97.27803738317758%,96.48609077598829,3.513909224011713
>,91.22340425531921%,-0.21468664074925453,94.13393778994144%,79.86086956521737%,97.32943925233641%,96.33967789165446,3.6603221083455346
>,91.33485540334854%,-0.21588595327325366,94.25181385495054%,80.12173913043479%,97.37470725995313%,96.19326500732065,3.806734992679356
>,91.37957317073172%,-0.21690599540860653,94.44011648443328%,80.12173913043478%,97.45774647887328%,96.04685212298682,3.953147877013177
>,92.1435114503817%,-0.22646350332147197,94.69859721728379%,82.11790393013102%,97.53286384976526%,95.90043923865301,4.099560761346998
>,92.18501529051989%,-0.2271511565184745,94.842462484429%,82.14847161572052%,97.59294117647057%,95.75402635431918,4.24597364568082
>,92.20980091883614%,-0.22705990513108806,94.8864664911965%,82.21834061135371%,97.60613207547168%,95.60761346998535,4.392386530014641
>,92.63343558282209%,-0.23328739223637854,95.09929807911097%,83.23684210526322%,97.68632075471704%,95.46120058565154,4.538799414348463
>,92.62365591397851%,-0.23279053982432724,95.1262633659454%,83.21491228070178%,97.69503546099291%,95.31478770131771,4.685212298682284
>,92.96769230769232%,-0.23739985094331573,95.18976206359791%,84.12775330396482%,97.71158392434995%,95.1683748169839,4.831625183016105
